
  Benchmark lcg from 1 to 256 with step 1.

         N            Ri            Time
       244    4074525504        2.159519
       245    4074525504        2.167885
       246    4074525504        2.171053
       247    4074525504        2.184717
       248    4074525504        2.211099
       249    4074525504        2.174489
       250    4074525504        2.151699
       251    4074525504        2.173997
       252    4074525504        2.164282
       253    4074525504        2.156659
       254    4074525504        2.202976
       255    4074525504        2.194084
